OTU ID	16SCLC1HR1	16SCLC1HR2	16SCLC1HR3	16SCLC1HR4	16SCLC1HR5	16SCLC24HR1	16SCLC24HR2	16SCLC24HR3	16SCLC24HR4	16SCLC24HR5	16SCLC3MR1	16SCLC3MR2	16SCLC3MR3	16SCLC3MR4	16SCLC3MR5	16SCLC48HR1	16SCLC48HR2	16SCLC48HR3	16SCLC48HR4	16SCLC48HR5	16SCLC96HR1	16SCLC96HR2	16SCLC96HR3	16SCLC96HR4	16SCLC96HR5	16SLAC1HR1	16SLAC1HR2	16SLAC1HR3	16SLAC1HR4	16SLAC1HR5	16SLAC24HR1	16SLAC24HR2	16SLAC24HR3	16SLAC24HR4	16SLAC24HR5	16SLAC3MR1	16SLAC3MR2	16SLAC3MR3	16SLAC3MR4	16SLAC3MR5	16SLAC48HR1	16SLAC48HR2	16SLAC48HR3	16SLAC48HR4	16SLAC48HR5	16SLAC96HR1	16SLAC96HR3	16SLAC96HR4	16SLAC96HR5	NP16SDec1710	NP16SDec1711	NP16SDec1712	NP16SDec171SF	NP16SDec171SUB	NP16SDec172SF	NP16SDec172Sub	NP16SDec173SF	NP16SDec173SUB	NP16SDec174SF	NP16SDec174SUB	NP16SDec175SF	NP16SDec175SUB	NP16SDec176SF	NP16SDec176Sub	NP16SDec177SF	NP16SDec177SUB	NP16SDec178SF	NP16SDec178SUB	NP16SDec179SF	NP16SDec179SUB	NP16SDec1811	NP16SDec1812	NP16SDec181SF	NP16SDec181SUB	NP16SDec182SF	NP16SDec182Sub	NP16SDec183SF	NP16SDec183SUB	NP16SDec184SF	NP16SDec184SUB	NP16SDec185SF	NP16SDec185SUB	NP16SDec186SF	NP16SDec186Sub	NP16SDec187SF	NP16SDec187SUB	NP16SDec188SF	NP16SDec188SUB	NP16SDec189SF	NP16SDec189SUB	NP16SMay1810	NP16SMay1811	NP16SMay1812	NP16SMay181SF	NP16SMay181SUB	NP16SMay182SF	NP16SMay182Sub	NP16SMay183SF	NP16SMay183SUB	NP16SMay184SF	NP16SMay184SUB	NP16SMay185SF	NP16SMay185SUB	NP16SMay186SF	NP16SMay186Sub	NP16SMay187SF	NP16SMay187SUB	NP16SMay188SF	NP16SMay188SUB	NP16SMay189SF	NP16SMay189SUB
ASV10397	0	5	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ASV2994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	5	0	0	0	1	0	0	0	4	0	0	0	0	0	13	0	1	0	2	0	6	0	7	0	9	0	10	0	11	0	0	0	0	3	0	5	0	3	0	2	0	19	0	2	0	3	0	2	0	1
ASV10576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	3	0	1	0	2	0	8	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ASV1763	1	2	1	1	0	0	0	2	0	0	0	5	0	1	1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	7	3	18	1	3	1	8	3	7	2	6	2	2	5	20	1	17	0	0	1	0	0	4	4	2	3	10	1	1	3	1	1	0	2	3	2	2	0	0	0	0	3	0	5	1	5	0	1	2	12	0	7	3	7	0	3	1	3
ASV9690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV7390	2	3	6	0	0	0	3	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV6424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	2	0	1	0	3	0	4	0	2	0	3	0	2	0	1	0	0	0	0	1	0	4	0	6	0	0	0	3	0	0	0	0	0	0	0	0
ASV5026	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	15	1	0	0	17	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5281	0	0	2	0	0	3	0	0	2	0	1	0	1	0	4	0	0	2	4	0	1	0	1	0	0	0	1	1	1	1	5	3	0	4	0	3	3	3	3	1	1	0	0	0	0	1	0	0	0	0	0	0	5	0	6	0	5	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	7	0	0	0
ASV361	7	35	58	67	30	24	51	22	27	11	61	40	31	17	40	29	10	42	8	13	9	5	9	8	16	29	23	20	11	13	12	14	0	6	9	10	23	11	11	12	21	18	7	15	7	5	5	10	3	3	8	3	2	0	8	1	4	0	13	1	14	2	3	1	3	0	10	2	17	4	3	5	11	0	5	0	12	0	24	0	28	0	24	0	10	0	15	0	13	0	3	15	4	5	2	7	1	8	0	5	3	9	3	18	1	8	1	6	2	11	1
