	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1	ASV1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	0.999907519
ASV2	ASV2	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	uncultured bacterium	0.74565085
ASV3	ASV3	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	0.993757199
ASV4	ASV4	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.991762028
ASV5	ASV5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.724797333
ASV6	ASV6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.995202778
ASV7	ASV7	Bacteria	NA	NA	NA	NA	NA	NA	0.999955058
ASV8	ASV8	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	uncultured bacterium	0.810372062
ASV9	ASV9	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.887707218
ASV10	ASV10	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.995309009
ASV11	ASV11	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Myrmecia israelensis	Myrmecia israelensis	Myrmecia israelensis	0.999996689
ASV12	ASV12	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.994281341
ASV13	ASV13	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Mastigocladopsis PCC-10914	uncultured bacterium	0.825953
ASV14	ASV14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.999578261
ASV15	ASV15	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	NA	NA	0.934819325
ASV16	ASV16	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	NA	0.986061302
ASV17	ASV17	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus PCC-7113	Microcoleus sp. HTT-U-KK5	0.953668678
ASV18	ASV18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.980157998
ASV19	ASV19	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	uncultured cyanobacterium	0.993958907
ASV20	ASV20	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.986914273
ASV21	ASV21	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptogium hirsutum	Leptogium hirsutum	0.999999995
ASV22	ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.999980661
ASV23	ASV23	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	uncultured bacterium	0.871575124
ASV24	ASV24	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptogium hirsutum	Leptogium hirsutum	0.999999992
ASV25	ASV25	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.999235796
