	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Fungi	NA	NA	NA	NA	NA	NA
ASV2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
ASV7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV9	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
ASV11	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV13	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	NA	NA
ASV14	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV15	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Nothophoma	Nothophoma gossypiicola
ASV17	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV19	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV20	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV21	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV22	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia uzbekistanensis
ASV23	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV24	Fungi	NA	NA	NA	NA	NA	NA
ASV25	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV26	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria terricola
ASV28	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV29	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV30	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV31	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV32	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV33	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
