#OTU ID	ITSCLC1HR1	ITSCLC1HR2	ITSCLC1HR3	ITSCLC1HR4	ITSCLC1HR5	ITSCLC3MR1	ITSCLC3MR2	ITSCLC3MR3	ITSCLC3MR4	ITSCLC3MR5	ITSCLC24HR1	ITSCLC24HR2	ITSCLC24HR3	ITSCLC24HR4	ITSCLC24HR5	ITSCLC48HR1	ITSCLC48HR2	ITSCLC48HR3	ITSCLC48HR4	ITSCLC48HR5	ITSCLC96HR1	ITSCLC96HR2	ITSCLC96HR3	ITSCLC96HR4	ITSCLC96HR5	ITSLAC1HR1	ITSLAC1HR2	ITSLAC1HR3	ITSLAC1HR4	ITSLAC1HR5	ITSLAC3MR1	ITSLAC3MR2	ITSLAC3MR3	ITSLAC3MR4	ITSLAC3MR5	ITSLAC24HR1	ITSLAC24HR2	ITSLAC24HR3	ITSLAC24HR4	ITSLAC24HR5	ITSLAC48HR1	ITSLAC48HR2	ITSLAC48HR3	ITSLAC48HR4	ITSLAC48HR5	ITSLAC96HR1	ITSLAC96HR2	ITSLAC96HR3	ITSLAC96HR4	ITSLAC96HR5	NPDec181SF	NPDec182SF	NPDec183SF	NPDec184SF	NPDec185SF	NPDec185SUB	NPDec186SF	NPDec187SF	NPDec187SUB	NPDec188SF	NPDec189SF	NPDec1810	NPDec1811	NPDec1812	NPDecember1SF	NPDecember1SUB	NPDecember2SF	NPDecember2Sub	NPDecember3SF	NPDecember4SF	NPDecember4SUB	NPDecember5SF	NPDecember6SF	NPDecember6Sub	NPDecember7SF	NPDecember7SUB	NPDecember8SF	NPDecember8SUB	NPDecember9SF	NPDecember10	NPDecember11	NPDecember12	NPMar181SF	NPMar181SUB	NPMar182SF	NPMar182Sub	NPMar183SF	NPMar184SF	NPMar184SUB	NPMar186SF	NPMar187SF	NPMar188SF	NPMar188SUB	NPMar189SF	NPMar189SUB	NPMar1810	NPMar1811	NPMay181SF	NPMay181SUB	NPMay182SF	NPMay182Sub	NPMay183SF	NPMay184SF	NPMay184SUB	NPMay185SF	NPMay185SUB	NPMay186SF	NPMay186Sub	NPMay187SF	NPMay188SF	NPMay189SF	NPMay189SUB	NPMay1810	NPMay1811	NPMay1812	NPNovember1SF	NPNovember1SUB	NPNovember3SF	NPNovember4SF	NPNovember4SUB	NPNovember5SF	NPNovember7SF	NPNovember7SUB	NPNovember8SUB	NPNovember9SF	NPNovember9SUB	NPNovember10	NPNovember11	NPNovember12	NPOctober1SF	NPOctober1SUB	NPOctober2SF	NPOctober2SUB	NPOctober3SF	NPOctober3SUB	NPOctober4SF	NPOctober4SUB	NPOctober5SF	NPOctober5SUB	NPOctober6SF	NPOctober7SF	NPOctober7SUB	NPOctober8SF	NPOctober8SUB	NPOctober9SF	NPOctober9SUB	NPOctober10	NPOctober11	NPOctober12	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
ASV17	5671	13447	1084	1461	1291	189	237	640	909	3508	3745	10479	1707	1546	5877	3446	98	1391	0	4934	389	335	8112	247	23	4247	7697	4549	13074	3213	1355	8519	751	3442	694	0	206	0	0	2966	16973	609	1079	782	293	644	6037	163	5685	664	7404	18439	3637	657	1108	95	3510	311	0	1041	19040	5544	26640	10925	0	1920	1562	175	249	0	0	913	51	353	632	392	4061	5922	452	21245	20166	32755	220	758	6925	0	29	226	5911	0	2137	2810	270	1194	38619	27943	37959	32	1224	3780	154	689	0	0	1146	149	4216	0	22	105	205	0	2510	32173	4646	1210	266	19017	252	286	978	633	12323	3689	2014	0	11628	17283	6410	251	1834	11264	6932	0	2548	53	0	1731	2518	4842	90	3710	1119	0	1306	3520	23156	17778	27861	GS|100.0|MH474435|SH1547057.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Leptosphaerulina,s:Leptosphaerulina australis	Leptosphaerulina	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
ASV30	479	9569	0	0	0	0	0	69	0	0	0	0	0	12081	702	758	0	0	0	0	0	0	0	0	0	10740	6571	2132	2310	9657	7207	9092	14654	9621	4334	2888	273	1547	1217	17669	6694	1185	3770	2104	0	0	373	1784	0	0	0	0	5427	0	0	0	4845	0	0	782	650	0	0	0	0	0	3506	0	18950	0	330	2613	7929	5315	0	2861	13670	761	8074	0	1273	0	555	401	16525	0	69	254	0	0	0	18265	418	0	0	0	0	0	597	4902	1472	25577	0	449	6295	985	13906	0	0	0	9129	260	0	0	0	936	0	2750	0	221	0	0	0	0	0	0	0	0	0	40	0	291	0	6873	3181	6	0	469	0	0	0	0	152	2380	15786	478	0	2462	8721	US|0.9191|FJ781047|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	Hypocreales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
ASV3	1401	3207	407	417	27	90	71	257	181	1038	523	4591	341	1073	1678	1301	0	444	0	2112	0	835	347	656	0	2740	191	723	816	430	165	4630	159	543	601	0	0	190	0	346	2453	208	172	0	0	0	820	0	643	109	1015	2650	1931	309	738	164	679	99	0	510	420	25817	28446	1250	0	1811	0	321	0	0	0	391	0	1675	153	0	1169	4497	417	4486	21342	5166	126	0	184	0	0	0	20093	0	298	935	212	65	0	9356	6441	40	0	466	0	0	0	238	125	0	773	0	16	0	0	0	214	12213	5533	272	454	4398	0	203	0	199	3560	398	168	0	7262	3187	1811	54	162	2649	492	0	1473	35	250	301	0	1215	55	467	1361	0	131	1975	6797	7482	5371	GSL|100.0|LT592943|SH1547057.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
ASV2	1101	125	113	345	11	27	172	37	103	165	0	140	206	0	0	0	0	0	0	418	0	0	784	188	0	509	0	0	0	0	0	195	0	856	0	0	0	0	0	204	0	0	0	0	0	620	0	124	220	0	3186	5142	1288	1905	8604	0	240	0	0	449	40883	1737	9030	3766	56	1030	868	9243	588	0	0	77	0	0	12287	0	2273	1036	4743	1455	23522	1187	0	1542	363	0	0	0	1474	0	682	7548	221	97	4211	3470	16407	33	0	263	0	0	0	0	314	0	304	0	170	41	4408	0	1069	10306	11291	83	0	5466	549	795	323	52	1253	236	344	0	1336	1130	1385	76	0	101	0	0	0	49	0	976	129	263	0	0	359	291	336	2483	4841	384	1755	GSL|100.0|GU237884|SH1547057.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	34002	46621	0	16928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23661	0	0	0	0	0	0	0	55	0	0	0	5673	0	0	0	3088	0	149	0	462	369	11843	0	0	0	0	0	0	0	0	2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5771	0	0	2099	327	0	0	0	0	0	0	1800	437	0	0	102	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	US|0.9079|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Trapeliales	-	-	-	-	-	-	-	Unassigned	-
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	9841	166	38734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	662	0	0	0	0	0	0	0	0	1059	11605	0	0	0	0	0	638	0	0	0	0	0	38376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24590	8026	0	0	0	161	1071	0	0	0	0	0	0	0	11107	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	615	0	1905	0	0	0	US|0.9284|LT612527|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Possible	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford
ASV18	1855	350	130	327	31	38	27	85	196	357	36	1776	63	516	963	969	0	199	0	1208	61	207	1156	19	425	1406	1364	502	253	2890	143	1429	166	4100	629	0	0	65	72	78	835	136	280	419	0	71	6009	463	920	430	184	4147	3689	74	1112	59	2174	56	42	699	411	1304	346	7589	0	4450	114	95	144	46	0	270	16	0	0	707	2232	187	151	1504	635	8750	344	232	407	0	0	0	9297	0	1926	1611	1836	100	291	3356	862	10	722	1424	389	2053	0	640	233	0	1025	0	3	119	408	99	163	2338	1310	260	318	1629	279	170	124	310	4071	1147	3830	0	1745	1432	122	201	407	106	286	488	722	22	95	410	890	1849	0	221	312	55	464	3696	4441	3386	1194	GSL|100.0|MH063644|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
ASV1	0	0	0	0	0	659	36	50	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2108	333	246	0	0	0	0	0	0	0	0	0	0	0	0	1416	0	25545	5154	5294	8055	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	3118	0	0	438	0	0	0	0	530	0	1539	1537	0	0	166	740	6509	0	42	0	0	0	3828	1596	16114	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	2837	797	10554	0	0	4579	85	1244	220	0	0	0	0	0	1264	373	3496	3657	0	0	42	0	1864	675	1572	0	93	425	692	9051	1386	441	0	0	SS|1.0000|EU480152|SH1646998.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
ASV35	0	0	0	28225	0	0	0	0	0	16559	0	0	0	0	20527	0	1056	1010	0	0	0	0	0	465	0	0	0	17051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	8003	0	0	0	0	0	0	13427	0	0	0	0	0	0	0	0	0	0	356	12422	0	0	3857	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	269	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	US|0.9505|None;k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Chlorellales	-	-	-	-	-	-	-	Unassigned	-
ASV39	0	0	0	0	0	0	0	0	0	0	0	0	26373	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	15526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22833	301	0	0	0	0	0	0	0	0	0	2116	0	0	0	0	0	0	0	0	8974	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	US|0.9194|None;k:Metazoa,p:Arthropoda,c:Malacostraca,o:Amphipoda	-	-	-	-	-	-	-	Unassigned	-
