Compound	Water_0.05H	Water_1h	Water_24H	Water_48H	Water_96H	LAC_0.05H1	LAC_0.05H2	LAC_0.05H3	LAC_0.05H4	LAC_0.05H5	LAC_1H1	LAC_1H2	LAC_1H3	LAC_1H4	LAC_1H5	LAC_24H1	LAC_24H2	LAC_24H3	LAC_24H4	LAC_24H5	LAC_48H1	LAC_48H2	LAC_48H3	LAC_48H4	LAC_48H5	LAC_96H1	LAC_96H2	LAC_96H3	LAC_96H4	LAC_96H5	CLC_0.05H1	CLC_0.05H2	CLC_0.05H3	CLC_0.05H4	CLC_0.05H5	CLC_1H1	CLC_1H2	CLC_1H3	CLC_1H4	CLC_1H5	CLC_24H1	CLC_24H2	CLC_24H3	CLC_24H4	CLC_24H5	CLC_48H1	CLC_48H2	CLC_48H3	CLC_48H4	CLC_48H5	CLC_96H1	CLC_96H2	CLC_96H3	CLC_96H4	CLC_96H5	AnnotationClass
3-Ureidopropionic acid	-2.049722399	-1.179164416	-2.258777006	-1.532318447	-1.713760688	-0.150614488	-0.418740707	-0.385123671	-0.385117926	-0.409219227	-0.111870084	-0.034450879	-0.053339898	-0.143627551	0.213005865	-1.199685645	-1.098696812	-0.808195668	-1.308147049	-1.050348589	1.908316847	1.200566568	1.075287342	0.822489618	0.695716212	0.426401757	0.12338483	-0.780370422	-1.44629226	-1.372696334	-1.11169619	-1.189872832	-1.335417664	-1.343999446	-1.431911684	-0.557176288	-0.588826043	-0.584702488	-0.681763259	0.295235716	3.878879877	3.815522248	3.896727306	3.381608856	2.933062426	3.063189494	3.460988399	3.248278717	2.928561354	3.365869416	2.210848909	2.280165601	1.412400714	-0.181681911	-0.391500251	Pyrimidine
4-Guanidinobutyric acid	1.291138283	1.587488951	1.425313431	1.277041404	1.506813522	1.374182943	1.151146752	1.245897233	1.202090374	1.307196271	1.396176692	1.348078723	1.490925808	1.457364117	1.650535468	0.601873165	0.44669606	0.588983155	0.570082386	0.214017809	-0.157739668	-0.281484561	0.134755242	-0.098262267	0.067442057	0.072653116	0.045622201	0.438447415	0.311486208	0.270860722	2.06835918	2.152812831	2.220910353	2.789962855	2.892034869	1.217904932	1.19539025	2.131086344	1.765508451	1.773651677	3.57849134	5.460677925	5.314319567	4.294716304	3.768380479	2.868788847	3.810730724	3.360653749	2.824862229	1.927614534	0.403595319	0.740678332	0.474929779	0.224954206	0.419810245	Amino acid
5-Aminovaleric acid	-1.74247632	-0.944060861	-1.219981102	-1.970290744	-1.739252901	-1.543185712	-1.755737776	-1.532451784	-1.825313044	-1.566592734	-1.920518	-1.856065669	-1.874904409	-1.926264494	-1.80440393	-1.191989814	-1.487939988	-0.932287019	-1.338228709	-1.484222201	4.546113821	3.88184983	3.633804127	3.74261646	3.619937809	2.362697712	2.238655917	1.112866646	-0.059383661	0.515135992	-1.579648164	-1.561138471	-1.566657606	-1.724296428	-2.016258893	-1.973743347	-1.788397054	-1.966844846	-1.776090703	-0.869820988	2.836577048	2.493464282	2.646808668	2.791989744	2.648265246	5.153121	5.214919586	5.085005437	4.927358731	4.916155728	3.210091405	3.008075685	1.933039335	2.226172935	1.950340581	Amino acid
Acetylcarnitine	-2.640699546	-2.323322222	-2.33405806	-2.658683697	-2.862946725	-1.765411435	-2.113248036	-1.853630537	-1.907137716	-1.828486782	-1.985474417	-1.913172671	-1.938165603	-1.939905816	-1.781069408	0.813922028	0.006444863	-0.774192726	-1.369650786	-1.077636264	0.447961945	-0.353616274	-0.339622453	-0.58050311	-0.503922901	-1.647847723	-1.764289607	-1.367383789	-1.817322476	-2.603883735	-2.6435839	-2.37767335	-2.49189622	-2.836180974	-3.034848847	-2.355512596	-2.272983098	-2.268771664	-2.184916827	-2.178493279	-0.535995754	-0.089723526	0.874874695	1.292427851	0.883407049	1.820771478	2.125399088	1.850905963	1.560707207	1.989756034	0.498523002	1.64967087	1.29872411	-0.256362641	-0.35713976	Carnitine
Adenine	2.906369445	3.197757785	3.120778967	3.119956532	3.304483618	2.449440935	2.184769517	2.315616809	2.279782031	2.367611284	2.207555035	2.134942078	2.091676953	2.028954282	2.405498358	0.404196807	0.178727157	0.577615307	0.826019166	1.036196054	-0.29393569	-0.121470484	0.162080743	-0.102346152	-0.231275794	1.405102797	1.171733787	0.334475756	-0.234008337	0.069174776	2.113575437	2.305574457	2.167790309	2.058936551	2.139793107	1.573535166	1.733480179	1.491245265	1.371310517	1.350154779	-0.061658887	-0.014237651	0.049796022	-0.444285705	-0.234820493	-0.012439778	-0.373636209	-0.668102148	-0.539772381	-0.312272006	0.571319749	0.455173253	0.001112473	0.002960896	0.436862355	Purine
Adenosine	1.895551187	1.697172631	2.477814379	2.438882326	1.456307711	5.668331076	5.407038099	5.439635776	5.434361759	5.394339056	4.859748297	4.618301324	4.605467204	4.578979673	4.843095983	2.085018009	2.017103311	2.630677469	2.760452206	3.152845988	2.444964469	2.903424443	3.508831707	3.328825469	3.278886013	3.714447316	3.476765776	4.163602733	4.166632829	4.521560953	5.360760762	5.493655641	5.402389327	5.497130561	5.605739626	4.50053875	4.627308821	4.516925147	4.408898903	4.32295033	1.677067264	1.741621885	1.83800174	1.595207239	2.53904802	3.214614373	2.907058507	2.70328711	3.128409765	3.017281417	4.210799901	4.414363231	4.426405068	4.591821872	4.828259941	Purine
Alanine	-0.361019743	-0.535079957	-0.319491619	-0.076332241	-0.204160507	-1.03153649	-1.029676496	-1.056058996	-1.161904616	-1.050728797	-1.130198397	-1.079427267	-0.98336679	-1.017220537	-1.136983925	-0.792524697	-0.656859533	-0.774673404	-0.550375741	-0.642585336	1.392329766	0.800074846	0.512843108	0.878749787	0.768626806	0.187025727	0.031404421	-0.622763289	-0.31171207	-0.450652825	0.477476814	0.368750277	0.470397389	0.57846628	0.223004259	0.084766948	0.064734117	-0.022831823	0.114927002	0.094355974	-1.417112717	-1.912579661	-1.906059889	-1.72019376	-1.603158312	-1.076611848	-0.257344384	-0.458537243	-0.673440104	-0.193587978	-1.456093692	-2.005605303	-1.45133791	-1.067105824	-1.074895256	Amino acid
Arginine	2.729718894	2.888335043	2.962559817	2.519096083	2.232691049	1.220746923	1.213253187	1.204571732	1.379250469	1.313644738	1.797386449	1.928059548	1.87109402	2.016459963	1.744162948	1.953854484	2.154965793	2.242158207	1.904644864	1.899088658	1.158872688	1.491339637	1.85427672	1.600690039	1.835102186	1.973342484	2.086181422	2.419177945	2.510129169	2.202195755	2.347525921	2.217533042	2.199220858	1.891265721	1.960040108	2.329866795	2.085483824	2.092699186	2.090031384	2.179842797	1.219710495	1.267303448	1.129140576	1.296007521	1.499771639	1.2049292	0.968871872	1.131470906	1.337031411	0.809862459	1.16333287	1.228368875	1.707575134	1.905302114	1.926059454	Amino acid
Asparagine	-3.149919474	-3.321342939	-3.190304786	-3.253031414	-3.733380152	-4.839668701	-4.666762849	-4.808037077	-4.798189566	-4.845352676	-4.669698647	-4.623263945	-4.908244549	-4.434344182	-4.852806382	-4.285745859	-4.080479853	-4.392843801	-4.230559854	-4.395390632	-5.706526631	-5.2954221	-6.095285161	-5.455092091	-5.520073313	-4.450773034	-4.274756081	-4.135286327	-3.764911637	-4.000683286	-3.297432421	-3.757676238	-3.257106068	-2.982329557	-3.220224612	-3.559617331	-3.507177124	-3.77000774	-3.484601892	-3.519071997	-5.569215053	-6.0879624	-5.682001517	-5.931818275	-5.183753444	-7.427240096	-7.438789698	-6.623088595	-5.623418933	-6.646537739	-6.421214239	-6.120753692	-7.526307872	-5.53833657	-5.390068	Amino acid
Aspartic acid	-0.363927098	-0.755541517	-0.314797677	-0.368949718	-0.868097872	0.431039971	0.338459247	0.418857541	0.344524065	0.332256548	0.060987886	0.265085559	0.143473239	0.406843494	-0.171658176	-1.770778029	-1.026131126	-1.428059792	-1.360698469	-1.480235441	-3.608137256	-2.11712423	-2.45493533	-2.485552465	-2.161141647	-1.381050128	-1.398017177	-1.263173763	-0.647595913	-1.183076282	0.37762288	-0.413386309	-0.058334364	0.160346424	-0.005481682	-0.350758331	-0.419381359	-0.386356655	-0.285403283	-0.577254949	-3.635281941	-3.381123158	-3.68728673	-3.41908424	-2.605210628	-4.175158173	-4.819255594	-3.78196499	-3.544504415	-3.949790118	-3.132941309	-3.395959357	-3.225040454	-2.133552926	-2.108432939	Amino acid
