	LAC_0.05H	LAC_1H	LAC_24H	LAC_48H	LAC_96H	CLC_0.05H	CLC_1H	CLC_24H	CLC_48H	CLC_96H	AnnotationClass
3-Ureidopropionic acid	-1.748816018	-0.130282548	-5.465073763	5.702376587	-3.049572429	-6.412897817	-2.117232361	17.90580071	16.06688738	5.330233062	Pyrimidine
4-Guanidinobutyric acid	6.280513573	7.343080809	2.421652574	-0.335289197	1.139069662	12.12408009	8.083541654	22.41658561	14.79265008	2.263967881	Amino acid
5-Aminovaleric acid	-8.22328105	-9.382156501	-6.43466773	19.42432205	6.169972606	-8.447999562	-8.374896937	13.41710499	25.29656048	12.32771994	Amino acid
Acetylcarnitine	-9.467914506	-9.557787914	-2.401112884	-1.329702793	-9.200727329	-13.38418329	-11.26067746	2.424990314	9.34753977	2.833415581	Carnitine
Adenine	11.59722058	10.86862671	3.02275449	-0.586947376	2.74647878	10.78566986	7.519725906	-0.705206714	-1.906222522	1.467428726	Purine
Adenosine	27.34370577	23.50559248	12.64609698	15.4649321	20.04300961	27.35967592	22.37662195	9.390946147	14.97065117	22.47165001	Purine
Alanine	-5.329905395	-5.347196916	-3.41701871	4.352624312	-1.166698035	2.118095019	0.335952218	-8.559104339	-2.659521557	-7.055037985	Amino acid
Arginine	6.331467048	9.357162928	10.15471201	7.94028127	11.19102677	10.61558565	10.77792399	6.411933679	5.452165849	7.930638447	Amino acid
Asparagine	-23.95801087	-23.4883577	-21.38502	-28.0723993	-20.62641036	-16.5147689	-17.84047608	-28.45475069	-33.75907506	-30.99668037	Amino acid
Aspartic acid	1.865137372	0.704732003	-7.065902856	-12.82689093	-5.872913263	0.060766949	-2.019154576	-16.7279867	-20.27067329	-13.99592698	Amino acid
Betaine	10.86443361	5.303958423	-0.305958206	-4.757812681	-6.578300767	8.174030312	5.854644968	8.232213722	4.64263215	-7.294059581	Methylation
Carnitine	1.888984726	0.292201454	7.247507721	4.113480258	-6.381956801	-1.566073727	-1.920267327	8.335574197	10.01878201	5.534211426	Carnitine
Choline	-4.893075035	-5.09677136	4.901946742	-0.581479941	-1.207510151	-2.199560561	-1.53078211	7.860380854	7.876075345	4.492614074	Choline
Citrulline	6.172914636	6.103291587	-1.62030625	1.243960029	-1.512328721	5.086352899	3.853129594	-0.534011449	-3.237763084	-5.209682371	Urea cycle
cyclic GMP	-16.49568265	-11.96246299	-20.10998964	-21.19204752	-12.46300341	-15.65346168	-17.38972045	-21.552316	-22.66460104	-19.67982758	Purine
Cystathionine	-19.0313956	-18.88316951	-11.97882897	-16.20639692	-14.0437008	-13.99887649	-14.61246941	-14.77201056	-15.4421832	-13.18280298	Amino acid
Cytidine	10.17195669	8.896227872	-1.686521282	0.826995303	2.579833593	8.309007162	8.418543894	-2.897104603	1.362527328	3.740936043	Pyrimidine
Deoxyadenosine	7.937867625	8.42707915	3.899770722	5.108536864	8.441951065	6.485521217	8.574015073	1.756017916	4.749147397	9.241713706	Purine
Dimethylarginine	-17.65421515	-16.95781322	-6.170586138	-7.269352367	-6.513353182	-17.0921724	-14.28497379	-3.373751276	1.224992173	-2.112070198	Methyl amino acid
gamma-Aminobutyric acid	1.345244728	-0.806078674	-6.181636629	-5.176888473	-9.464028663	13.51669982	11.87287582	17.89044432	18.74853637	-0.372731944	Amino acid
Glutamic acid	11.59927567	10.30060486	-0.524813391	-0.672981955	0.292677382	11.29409781	9.851998632	-4.651143158	-5.031161741	-2.099888244	Amino acid
Glutamine	16.42329837	13.50153653	6.782849982	5.420764782	6.03053087	20.10731965	16.25005482	4.415857721	4.428512318	4.133819907	Amino acid
Glycerophosphocholine	10.21279139	6.689214784	6.442244297	3.716086773	8.833080114	12.26910455	4.930476572	1.871513881	1.58755317	7.852298397	Choline
Guanine	5.237815848	8.467512752	2.265058795	-1.141559772	3.305070388	1.083466126	4.892896213	-2.685042494	-4.413787949	-0.759548818	Purine
Guanosine	8.577894986	6.872964731	-2.536062263	-0.977129087	3.080280793	6.784545742	7.351741353	-4.090036771	-0.752492967	3.243938251	Purine
Hexoseamine	-14.214404	-15.16025045	-6.650992022	-12.65359474	-9.608342323	-10.66312149	-10.66869507	2.237954224	2.084394478	4.606653152	Amino sugar
Hypoxanthine	10.98694093	14.74693467	5.451715657	1.053629811	5.288857255	7.584447256	11.60604675	-0.908490371	-1.088770847	1.18184978	Purine
Isoleucine	7.593672101	9.141279798	13.72444427	14.55032932	14.03009558	9.836228904	10.69187368	6.842290164	5.438399538	9.395590859	Amino acid
Kynurenine	-14.27052977	-9.429734032	-8.885530631	-4.430008631	-11.23714097	-18.30091922	-12.42698856	-5.275662004	-9.049974605	-11.02026194	Amino acid
Leucine	8.378178773	9.796367489	14.24425082	15.13328562	14.58160291	11.41847533	11.77988477	7.604733051	6.021882337	8.941413299	Amino acid
Lysine	-3.133846453	-2.73816875	4.490590453	2.297763749	5.75838729	-9.936355006	-5.90945829	-1.91489589	-2.928810671	1.510101438	Amino acid
Methionine	-0.986064912	-0.273918822	5.039527351	11.8520196	6.811824355	2.868677138	0.867126796	-0.666038203	-0.120128336	1.339171975	Amino acid
Methionine sulfoxide	1.860674613	1.979863987	-0.424330621	0.520178868	-1.841100184	2.486569284	2.146489532	-1.732260659	-5.105795703	-6.680585879	Oxidative stress
"N,N-dimethylglycine"	-7.749606168	-8.164193247	0.635785378	-3.139779569	-6.819173312	-12.25401434	-9.989044843	9.627514457	8.257432063	0.123080492	Methylation
N-Acetyllysine	-2.570102676	-0.856435956	-1.733294242	-1.825721337	-3.507285693	-4.687687765	-4.356859729	-2.208896021	0.052318153	1.825725859	Acetyl amino acid
N-Acetylputrescine	-14.89176236	-14.16125339	-6.330101912	-1.976614842	-6.213666126	-10.68914893	-10.48893873	-5.183726588	1.842503627	0.5421423	Polyamine
Ophthalmic acid	-6.706725539	-9.592968454	-16.94220048	-18.0957777	-19.80851793	-8.298287068	-11.84569766	-22.35477898	-21.61836324	-19.26154584	Oxidative stress
Ornithine	5.439248873	5.185887822	12.9298874	9.310804361	14.36872255	-4.59987639	-0.281111824	5.115082022	4.154480839	9.472321108	Urea cycle
Phenylalanine	13.18176688	15.16668851	18.19013797	21.90844869	18.99544892	12.71549972	15.67662813	11.78664624	10.10512391	13.32258818	Amino acid
Pipecolic acid	0.763019351	-0.897240188	-2.876998964	4.023327601	-5.247218869	7.679179146	5.595649393	13.16457765	7.133182648	-2.043649116	Amino acid
Proline	10.45252233	8.905176721	13.78640683	11.14529682	14.57054015	14.96729606	10.89684628	12.36933255	7.526226685	10.76925	Amino acid
S-Adenosylhomocysteine	-14.52532841	-15.11075478	-17.65964562	-21.28827636	-20.02433313	-13.85975083	-15.60816448	-23.52159315	-21.46381742	-17.90775893	Methylation
Serine	-3.335110351	-3.534445294	3.870335654	-0.608878582	5.230981426	-6.164344155	-5.367460679	-4.768208799	-7.419258552	0.663817793	Amino acid
Thiamine	-29.74449256	-25.96257282	-20.50057089	-21.47372628	-14.91607267	-30.46400119	-28.13279783	-19.39869052	-17.45262115	-11.0087218	B vitamin
Threonine	4.528047876	3.836231531	8.444832919	6.241771384	9.009011916	5.935905882	5.573328128	6.31965804	7.484424957	6.966951158	Amino acid
Trigonelline	0.707391658	-2.963469503	-6.018892275	-8.332328696	-13.54310315	-6.105627323	-6.928411034	-5.010131428	-6.175104408	-4.845224322	Alkaloid
Tyrosine	4.10373956	4.860177745	8.753675743	12.89867926	10.48365963	5.37016303	5.159847591	4.6603392	2.808851832	5.221907441	Amino acid
Urocanic acid	10.41329513	10.97940632	18.53769432	14.96346391	20.19699788	-1.584833615	2.97522293	10.15309826	9.784201372	15.03235498	Amino acid
Valine	6.741879924	7.304807189	11.43173134	14.30270955	12.26413562	9.568539829	9.271674609	6.018536902	6.023166358	7.17868973	Amino acid
Xanthosine	-10.07063114	-8.079125829	-14.00955406	-18.56448381	-14.59678886	-13.72703861	-9.830482007	-16.28328948	-16.72167445	-15.43219011	Purine
